Circuit,optimize_name,n_qubits,optimize_gates,optimize_t,optimize_2,optimize_other,optimize_depth,optimize_depth,time
barenco_tof_4,phase_clifford_basic,7,123,48,63,12,0,0,0.022808074951171875
barenco_tof_4,phase_basic_full_basic,7,98,28,59,11,0,0,0.030541181564331055
barenco_tof_4,phase_basic_clifford_basic,7,123,48,63,12,0,0,0.028142213821411133
barenco_tof_5,original,9,170,84,72,14,0,0,4.76837158203125e-07
barenco_tof_5,basic,9,162,72,72,18,0,0,0.004484653472900391
barenco_tof_5,phase_basic,9,162,72,72,18,0,0,0.022424936294555664
barenco_tof_5,basic_full_basic,9,139,40,80,19,0,0,0.03566122055053711
barenco_tof_5,phase_full_basic,9,136,40,78,18,0,0,0.045953989028930664
barenco_tof_5,basic_clifford_basic,9,178,72,89,17,0,0,0.026086807250976562
barenco_tof_5,phase_clifford_basic,9,178,72,89,17,0,0,0.040207862854003906
barenco_tof_5,phase_basic_full_basic,9,139,40,80,19,0,0,0.056046485900878906
barenco_tof_5,phase_basic_clifford_basic,9,178,72,89,17,0,0,0.04473447799682617
barenco_tof_10,original,19,450,224,192,34,0,0,9.5367431640625e-07
barenco_tof_10,basic,19,427,192,192,43,0,0,0.019887924194335938
barenco_tof_10,phase_basic,19,427,192,192,43,0,0,0.07421231269836426
barenco_tof_10,basic_full_basic,19,355,100,202,53,0,0,0.2603166103363037
barenco_tof_10,phase_full_basic,19,344,100,190,54,0,0,0.24571657180786133
barenco_tof_10,basic_clifford_basic,19,458,192,224,42,0,0,0.1747756004333496
barenco_tof_10,phase_clifford_basic,19,458,192,224,42,0,0,0.21812176704406738
barenco_tof_10,phase_basic_full_basic,19,355,100,202,53,0,0,0.3154716491699219
barenco_tof_10,phase_basic_clifford_basic,19,458,192,224,42,0,0,0.22114086151123047
gf2^32_mult,original,96,13562,7168,6268,126,0,0,1.430511474609375e-06
gf2^32_mult,basic,96,12476,6144,6268,64,0,0,1.134338617324829
gf2^32_mult,phase_basic,96,12476,6144,6268,64,0,0,22.034106969833374
gf2^32_mult,basic_full_basic,96,56256,4128,51238,890,0,0,202.54006242752075
gf2^32_mult,phase_full_basic,96,59005,4128,53912,965,0,0,226.51810550689697
gf2^32_mult,basic_clifford_basic,96,12864,6144,6656,64,0,0,90.38097882270813
gf2^32_mult,phase_clifford_basic,96,12891,6144,6683,64,0,0,125.52916240692139
gf2^32_mult,phase_basic_full_basic,96,56256,4128,51238,890,0,0,219.85266089439392
gf2^32_mult,phase_basic_clifford_basic,96,12864,6144,6656,64,0,0,109.1775221824646
